X_0,Y_0,Z_0,ODBA_0,X_1,Y_1,Z_1,ODBA_1,X_2,Y_2,Z_2,ODBA_2,X_3,Y_3,Z_3,ODBA_3,X_4,Y_4,Z_4,ODBA_4,X_5,Y_5,Z_5,ODBA_5,X_6,Y_6,Z_6,ODBA_6,X_7,Y_7,Z_7,ODBA_7,X_8,Y_8,Z_8,ODBA_8,X_9,Y_9,Z_9,ODBA_9,Comportamiento
0.0,-0.5469,0.8125,0.0140433333333333,-0.0156,-0.5469,0.8281,0.0202766666666671,0.0,-0.5469,0.7969,0.0296433333333333,-0.0156,-0.5469,0.8125,0.0119633333333333,0.0,-0.5469,0.8125,0.0140433333333333,0.0,-0.5469,0.7969,0.0296433333333333,-0.0156,-0.5469,0.8125,0.0119633333333333,-0.0156,-0.5469,0.7969,0.0275633333333333,0.0,-0.5469,0.8125,0.0140433333333333,-0.0156,-0.5469,0.8125,0.0119633333333333,0.0
-0.0156,-0.5313,0.8281,0.0358766666666671,0.0,-0.5469,0.8438,0.0380566666666671,0.0,-0.5469,0.7969,0.0296433333333333,0.0,-0.5469,0.8125,0.0140433333333333,0.0,-0.5469,0.8281,0.0223566666666671,-0.0156,-0.5469,0.8281,0.0202766666666671,-0.0156,-0.5469,0.8281,0.0202766666666671,-0.0156,-0.5625,0.8125,0.0244433333333328,0.0,-0.5625,0.8125,0.0265233333333328,-0.0156,-0.5469,0.8125,0.0119633333333333,0.0
-0.0156,-0.5469,0.8281,0.0202766666666671,0.0,-0.5469,0.8125,0.0140433333333333,0.0,-0.5469,0.8125,0.0140433333333333,-0.0156,-0.5625,0.8281,0.0327566666666666,-0.0156,-0.5625,0.8125,0.0244433333333328,0.0,-0.5469,0.8125,0.0140433333333333,-0.0156,-0.5469,0.8281,0.0202766666666671,-0.0156,-0.5469,0.8125,0.0119633333333333,-0.0156,-0.5469,0.8125,0.0119633333333333,-0.0156,-0.5469,0.8281,0.0202766666666671,0.0
0.0,-0.5469,0.8281,0.0270400000000001,-0.0156,-0.5469,0.8125,0.0083200000000001,-0.0156,-0.5469,0.7969,0.0239200000000001,0.0,-0.5313,0.8125,0.0270400000000003,-0.0156,-0.5469,0.7969,0.0239200000000001,0.0,-0.5469,0.8281,0.0270400000000001,-0.0156,-0.5469,0.8125,0.0083200000000001,0.0,-0.5469,0.8281,0.0270400000000001,0.0,-0.5469,0.7969,0.0270400000000001,0.0,-0.5469,0.8125,0.0114400000000002,0.0
0.0,-0.5469,0.8281,0.0270400000000001,-0.0156,-0.5469,0.7969,0.0239200000000001,-0.0156,-0.5469,0.7969,0.0239200000000001,-0.0156,-0.5469,0.8125,0.0083200000000001,-0.0156,-0.5625,0.7969,0.0353599999999997,-0.0156,-0.5625,0.8125,0.0197599999999998,-0.0156,-0.5625,0.8125,0.0197599999999998,-0.0156,-0.5469,0.7969,0.0239200000000001,-0.0156,-0.5469,0.7969,0.0239200000000001,-0.0156,-0.5469,0.8125,0.0083200000000001,0.0
0.0,-0.5469,0.8125,0.0114400000000002,0.0,-0.5469,0.8281,0.0270400000000001,0.0,-0.5469,0.8281,0.0270400000000001,-0.0156,-0.5469,0.8281,0.0239200000000001,0.0,-0.5625,0.8125,0.0228799999999998,-0.0156,-0.5469,0.8125,0.0083200000000001,-0.0156,-0.5469,0.8281,0.0239200000000001,0.0,-0.5469,0.8281,0.0270400000000001,-0.0156,-0.5625,0.7969,0.0353599999999997,-0.0156,-0.5469,0.8125,0.0083200000000001,0.0
-0.0156,-0.5469,0.8125,0.0145600000000002,0.0,-0.5469,0.8281,0.026,0.0,-0.5469,0.8281,0.0260000000000002,0.0,-0.5469,0.8125,0.0104000000000002,0.0,-0.5625,0.8125,0.0176799999999996,0.0,-0.5469,0.8125,0.0104000000000002,-0.0156,-0.5469,0.8281,0.0301600000000002,-0.0156,-0.5469,0.8281,0.0301600000000002,0.0,-0.5625,0.8125,0.0176799999999996,-0.0156,-0.5625,0.7813,0.0519999999999997,0.0
0.0,-0.5625,0.8125,0.0176799999999996,0.0,-0.5625,0.8125,0.0176799999999996,0.0,-0.5625,0.8125,0.0176799999999996,0.0,-0.5625,0.7969,0.0322399999999997,0.0,-0.5469,0.8281,0.0260000000000002,-0.0156,-0.5469,0.8125,0.0145600000000002,0.0,-0.5469,0.8281,0.0260000000000002,-0.0156,-0.5469,0.8125,0.0145600000000002,-0.0156,-0.5469,0.8125,0.0145600000000002,0.0,-0.5469,0.7969,0.0249600000000003,0.0
0.0,-0.5469,0.8281,0.0260000000000002,0.0,-0.5469,0.8281,0.0260000000000002,-0.0156,-0.5625,0.8125,0.0218399999999996,-0.0156,-0.5469,0.8125,0.0145600000000002,0.0,-0.5469,0.8125,0.0104000000000002,-0.0156,-0.5469,0.7813,0.0447200000000003,0.0,-0.5469,0.7969,0.0249600000000003,0.0,-0.5469,0.7969,0.0249600000000003,0.0,-0.5469,0.8125,0.0104000000000002,-0.0156,-0.5469,0.7969,0.0291200000000003,0.0
-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7031,0.6875,0.0167066666666664,-0.0156,-0.7031,0.6719,0.0187866666666666,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.6563,0.0302000000000003,-0.0156,-0.7188,0.6875,0.0125200000000001,0.0
